Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\WIFI_HOME_SECURITY_SYS_V01\Project Outputs for WIFI_HOME_SECURITY_SYS-V01\Pick Place for WIFI_HOME_SECURITY_SYS-V01.csv

========================================================================================================================
File Design Information:

Date:       26/01/23
Time:       14:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"BR1","DB105STR","TopLayer","DB105STR","1248.032","2007.874","90","Bridge Diode AC-DC"
"BT1","FOR CR1220","TopLayer","1056","2473.000","1327.000","270","BATT HOLDER COIN 12.5MM 1CEL SMD"
"BZ1","CMI-9605IC-0580T","TopLayer","CMI-9605IC","207.284","1213.189","180","Buzzers Indicator, Internally Driven Magnetic 5V 30mA 2.7kHz 80dB @ 5V, 10cm Through Hole PC Pins"
"C1","CL21B105KBFNNNE","TopLayer","CAP_0805","1219.882","1728.149","270","CAP CER 1uF %10 0805"
"C2","CL21B104KBCNNNC","TopLayer","CAP_0805","1282.480","1728.543","270","CAP CER 100nF %10 0805"
"C3","CL21A475KAQNNNE","TopLayer","CAP_0805","1500.000","1391.142","360","CAP CER 4.7uF %10 0805"
"C4","CL21B105KBFNNNE","TopLayer","CAP_0805","1500.000","1460.630","360","CAP CER 1uF %10 0805"
"C5","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","248.031","2405.512","180","CAP ALU ELEC 470uF 50V RADIAL"
"C6","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","248.031","2834.646","180","CAP ALU ELEC 470uF 50V RADIAL"
"C7","CL21A475KAQNNNE","TopLayer","CAP_0805","2198.228","356.299","90","CAP CER 4.7uF %10 0805"
"C8","CL21B105KBFNNNE","TopLayer","CAP_0805","723.425","1406.496","270","CAP CER 1uF %10 0805"
"C9","CL21B104KBCNNNC","TopLayer","CAP_0805","786.417","1406.496","270","CAP CER 100nF %10 0805"
"C10","CL21A475KAQNNNE","TopLayer","CAP_0805","2512.069","138.686","270","CAP CER 4.7uF %10 0805"
"C11","CL21A475KAQNNNE","TopLayer","CAP_0805","2578.998","138.686","270","CAP CER 4.7uF %10 0805"
"C12","CL21B104KBCNNNC","TopLayer","CAP_0805","993.567","1229.366","180","CAP CER 100nF %10 0805"
"C13","CL21B105KBFNNNE","TopLayer","CAP_0805","2445.140","138.686","270","CAP CER 1uF %10 0805"
"C14","EEV686M035A9HAA","TopLayer","CAP_EEVseries","999.803","1615.748","180","Cap Aluminum Lytic 68uF 35V 20% (6.3 X 7.7mm) SMD 280mA 2000h 105C T/R"
"C15","CL21A475KAQNNNE","TopLayer","CAP_0805","358.268","38.189","360","CAP CER 4.7uF %10 0805"
