Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\WIFI_HOME_SECURITY_SYS_V01\Project Outputs for WIFI_HOME_SECURITY_SYS-V01\Pick Place for WIFI_HOME_SECURITY_SYS-V01.txt

========================================================================================================================
File Design Information:

Date:       26/01/23
Time:       14:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment             Layer       Footprint         Center-X(mm) Center-Y(mm) Rotation Description                                                                                         
BR1        DB105STR            TopLayer    DB105STR          31.7000      51.0000      90       "Bridge Diode AC-DC"                                                                                
BT1        "FOR CR1220"        TopLayer    1056              62.8142      33.7058      270      "BATT HOLDER COIN 12.5MM 1CEL SMD"                                                                  
BZ1        CMI-9605IC-0580T    TopLayer    CMI-9605IC        5.2650       30.8150      180      "Buzzers Indicator, Internally Driven Magnetic 5V 30mA 2.7kHz 80dB @ 5V, 10cm Through Hole PC Pins" 
C1         CL21B105KBFNNNE     TopLayer    CAP_0805          30.9850      43.8950      270      "CAP CER 1uF %10 0805"                                                                              
C2         CL21B104KBCNNNC     TopLayer    CAP_0805          32.5750      43.9050      270      "CAP CER 100nF %10 0805"                                                                            
C3         CL21A475KAQNNNE     TopLayer    CAP_0805          38.1000      35.3350      360      "CAP CER 4.7uF %10 0805"                                                                            
C4         CL21B105KBFNNNE     TopLayer    CAP_0805          38.1000      37.1000      360      "CAP CER 1uF %10 0805"                                                                              
C5         ESH477M050AH4AA     TopLayer    CAP_RADIAL_D10_P5 6.3000       61.1000      180      "CAP ALU ELEC 470uF 50V RADIAL"                                                                     
C6         ESH477M050AH4AA     TopLayer    CAP_RADIAL_D10_P5 6.3000       72.0000      180      "CAP ALU ELEC 470uF 50V RADIAL"                                                                     
C7         CL21A475KAQNNNE     TopLayer    CAP_0805          55.8350      9.0500       90       "CAP CER 4.7uF %10 0805"                                                                            
C8         CL21B105KBFNNNE     TopLayer    CAP_0805          18.3750      35.7250      270      "CAP CER 1uF %10 0805"                                                                              
C9         CL21B104KBCNNNC     TopLayer    CAP_0805          19.9750      35.7250      270      "CAP CER 100nF %10 0805"                                                                            
C10        CL21A475KAQNNNE     TopLayer    CAP_0805          63.8065      3.5226       270      "CAP CER 4.7uF %10 0805"                                                                            
C11        CL21A475KAQNNNE     TopLayer    CAP_0805          65.5065      3.5226       270      "CAP CER 4.7uF %10 0805"                                                                            
C12        CL21B104KBCNNNC     TopLayer    CAP_0805          25.2366      31.2259      180      "CAP CER 100nF %10 0805"                                                                            
C13        CL21B105KBFNNNE     TopLayer    CAP_0805          62.1065      3.5226       270      "CAP CER 1uF %10 0805"                                                                              
C14        EEV686M035A9HAA     TopLayer    CAP_EEVseries     25.3950      41.0400      180      "Cap Aluminum Lytic 68uF 35V 20% (6.3 X 7.7mm) SMD 280mA 2000h 105C T/R"                            
C15        CL21A475KAQNNNE     TopLayer    CAP_0805          9.1000       0.9700       360      "CAP CER 4.7uF %10 0805"                                                                            
C16        C0603C104K5RACTU    TopLayer    CAP_0603          49.2506      27.4024      180      "CAP CER 100nF %10 0603 SMD"                                                                        
C17        CL21B105KBFNNNE     TopLayer    CAP_0805          9.1000       2.4975       360      "CAP CER 1uF %10 0805"                                                                              
C18        CL10C200JB8NNNC     TopLayer    CAP_0603          48.6100      19.9600      135      "CAP CER 20pF %5 0603 SMD"                                                                          
C19        CL10C200JB8NNNC     TopLayer    CAP_0603          53.1314      19.0317      225      "CAP CER 20pF %5 0603 SMD"                                                                          
C20        CL21B104KBCNNNC     TopLayer    CAP_0805          9.1000       4.2000       360      "CAP CER 100nF %10 0805"                                                                            
C21        CL21A475KAQNNNE     TopLayer    CAP_0805          38.1000      33.3000      360      "CAP CER 4.7uF %10 0805"                                                                            
C22        CL21B105KBFNNNE     TopLayer    CAP_0805          38.0950      31.7450      360      "CAP CER 1uF %10 0805"                                                                              
C23        CL21B104KBCNNNC     TopLayer    CAP_0805          10.6800      35.3050      270      "CAP CER 100nF %10 0805"                                                                            
C24        C0603C104K5RACTU    TopLayer    CAP_0603          38.0950      30.4050      360      "CAP CER 100nF %10 0603 SMD"                                                                        
C25        C0603C104K5RACTU    TopLayer    CAP_0603          36.5250      20.9550      90       "CAP CER 100nF %10 0603 SMD"                                                                        
C26        C0603C104K5RACTU    TopLayer    CAP_0603          46.2788      18.9230      135      "CAP CER 100nF %10 0603 SMD"                                                                        
C27        C0603C104K5RACTU    TopLayer    CAP_0603          49.2600      26.1600      180      "CAP CER 100nF %10 0603 SMD"                                                                        
C28        CL21B105KBFNNNE     TopLayer    CAP_0805          51.5100      45.5300      180      "CAP CER 1uF %10 0805"                                                                              
C29        CL21B104KBCNNNC     TopLayer    CAP_0805          63.9572      10.6680      90       "CAP CER 100nF %10 0805"                                                                            
C30        CL21B104KBCNNNC     TopLayer    CAP_0805          51.5050      43.9750      180      "CAP CER 100nF %10 0805"                                                                            
C31        CL21B105KBFNNNE     TopLayer    CAP_0805          65.5750      10.6750      90       "CAP CER 1uF %10 0805"                                                                              
C32        0603B103K160CT      BottomLayer CAP_0603          85.1423      17.9059      90       "CAP CER 10nF %10 0603"                                                                             
C33        C3216X5R1E336M160AC BottomLayer CAP_1206          88.1368      15.9243      90       "CAP CER 33uF %20 1206 SMD"                                                                         
C34        C3216X5R1E336M160AC BottomLayer CAP_1206          88.1392      20.1506      270      "CAP CER 33uF %20 1206 SMD"                                                                         
C35        C0603C104K5RACTU    BottomLayer CAP_0603          84.4400      12.4200      180      "CAP CER 100nF %10 0603 SMD"                                                                        
C36        0603B103K160CT      BottomLayer CAP_0603          83.7862      20.8000      270      "CAP CER 10nF %10 0603"                                                                             
C37        CL21A475KAQNNNE     BottomLayer CAP_0805          78.8650      2.2900       360      "CAP CER 4.7uF %10 0805"                                                                            
C38        C0603C104K5RACTU    BottomLayer CAP_0603          85.1450      14.9700      90       "CAP CER 100nF %10 0603 SMD"                                                                        
C39        CL21B105KBFNNNE     BottomLayer CAP_0805          78.1150      4.5600       90       "CAP CER 1uF %10 0805"                                                                              
C40        C0603C104K5RACTU    BottomLayer CAP_0603          86.1000      1.6400       270      "CAP CER 100nF %10 0603 SMD"                                                                        
C41        C0603C104K5RACTU    BottomLayer CAP_0603          74.2650      20.7000      270      "CAP CER 100nF %10 0603 SMD"                                                                        
C42        C0603C104K5RACTU    BottomLayer CAP_0603          77.9000      22.7000      180      "CAP CER 100nF %10 0603 SMD"                                                                        
C43        CL21B105KBFNNNE     BottomLayer CAP_0805          77.8950      24.1050      180      "CAP CER 1uF %10 0805"                                                                              
C44        CL21A475KAQNNNE     BottomLayer CAP_0805          78.2000      8.4000       90       "CAP CER 4.7uF %10 0805"                                                                            
C45        CL21A475KAQNNNE     BottomLayer CAP_0805          79.8000      8.4000       90       "CAP CER 4.7uF %10 0805"                                                                            
C46        CL21B105KBFNNNE     BottomLayer CAP_0805          81.4000      8.4000       90       "CAP CER 1uF %10 0805"                                                                              
D1         1N4148WS            TopLayer    SOD323F           50.8000      61.2244      360      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D2         1N4148WS            TopLayer    SOD323F           65.4700      61.2200      180      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D3         1N4148WS            TopLayer    SOD323F           54.1350      8.4500       270      "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
D4         1SMB5919BT3G        TopLayer    SMB               20.0000      28.5000      180      "Diode Zener Single 5.6V 5% 3W 2-Pin SMB T/R"                                                       
D5         LTST-C171GKT        BottomLayer LED_GREEN_0805    74.6000      14.9300      180      "Green 0805 130 º Min 5 mcd Typical 12 mcd Water Clear Lens SMT LED"                                
D6         "LH R974-LP-1"      TopLayer    LED_RED_0805      82.1273      22.1300      180      "LED Uni-Color Hyper Red 660nm 2-Pin Chip 0805(2012Metric) T/R"                                     
D7         1N4148WS            TopLayer    SOD323F           21.4000      50.2000      90       "Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                            
F1         3413.0216.22        TopLayer    3413.0216.22      23.2000      53.6000      360      "FUSE BRD MNT 1A 32VAC 63VDC 1206"                                                                  
J2         TBP01R1-508-02BE    TopLayer    TBP01R1-508       6.4000       86.7000      270      "Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"                          
J3         TBP01R1-508-02BE    TopLayer    TBP01R1-508       52.0000      89.2000      180      "Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"                          
